"","user_id","screen_name","category","description","name","gender","followers_count","profile_image_url","country"
"23","180639370","NanCastellano","candidates","Dios <U+2764>, Vida ,Patria <U+0001F1E6><U+0001F1F7>,Libertad <U+0001F198><U+FE0F> (lo que nos está faltando) 
Bien de Derecha.
Estudiante.<U+0001F499>","Nancy  Castellano",NA,"212","http://pbs.twimg.com/profile_images/1428501521390518277/TmEhJIqw_normal.jpg","ar"
"24","3115013812","RominaDelPla","candidates","Profe de Historia. Candidata a Dip. Nac. por la PBA por el FIT-U. Sec. Gral. SUTEBA La Matanza. Dirigente Tribuna Docente. Escribo en @prensaobrera","Romina Del Plá","F","20620","http://pbs.twimg.com/profile_images/1124456507029032960/5e8XyiWW_normal.jpg","ar"
"25","3130721691","NataliaDLSok","candidates","Legisladora provincial de Hacemos por Córdoba. Vicepresidenta de la Legislatura Unicameral. Presidenta de la Comisión de Derechos Humanos y Desarrollo Social.","Natalia de la Sota",NA,"15492","http://pbs.twimg.com/profile_images/1419123447536435202/_bT3sciP_normal.jpg","ar"
"26","306186194","LilianaOlivero","candidates","Dirigente de Izquierda Socialista y el Frente de Izquierda","Liliana Olivero",NA,"5555","http://pbs.twimg.com/profile_images/1127309628646330368/eidLyUeB_normal.png","ar"
"27","1418948448502550537","BacheyKarina","candidates","","Kary Bachey",NA,"55","http://pbs.twimg.com/profile_images/1418949369957597187/Y929aJPr_normal.jpg","ar"
"28","289400375","CatalinaUleri","candidates","Precandidata a Diputada Nacional - Neuquen /Lista 47 CC ARI","Catalina Uleri",NA,"37","http://pbs.twimg.com/profile_images/1404864972035923979/0bjnP3RB_normal.jpg","ar"
"29","1420532170402238464","MarilinaArmella","candidates","Soy una mujer militante del MPN Juninense que asumí el compromiso de representar a quienes laburamos para garantizar los derechos de las juventudes.","Marilina Armella",NA,"102","http://pbs.twimg.com/profile_images/1420532429308182528/MT4qsG5c_normal.jpg","ar"
"30","758090336883310592","carinagerlero","candidates","Bases - Partido Socialista.
Candidata a diputada nacional del Frente Amplio Progresista.
Docente en FBioyF-UNR.
Ex Sec. de Planif. y Art. Educativa de Santa Fe.","Carina Gerlero",NA,"495","http://pbs.twimg.com/profile_images/1421223936663203843/Q4dZ8bhu_normal.jpg","ar"
"31","937557860","donnetagustina","candidates","<U+0001F3DB><U+FE0F> La Dipu más joven de la historia
<U+0001F9E1> Jefa Bloque Igualdad
<U+0001F525> Precandidata Dipu Nacional
<U+0001F309> Santafesina
<U+0001F308> Disidente","Agus Donnet",NA,"1295","http://pbs.twimg.com/profile_images/1431402624188833794/CgQqMocq_normal.jpg","ar"
"32","3314303673","NataliaSarapura","candidates","| Candidata a Diputada Nacional por Jujuy.
Actual Ministra de Desarrollo Humano.
Mujer orgullosa de mis raíces, de mi cultura y de mi provincia.","Natalia Sarapura",NA,"708","http://pbs.twimg.com/profile_images/1432157684967555072/R_qgNmx0_normal.jpg","ar"
