"user_id","screen_name","category","description","name","gender","followers_count","profile_image_url","country"
"1691697295","ArabelaCarreras","province servants","Gobernadora de la provincia de Río Negro. 
Rionegrina, nacida en Bariloche. Licenciada en Letras.


#JuntosSomosRíoNegro 💚","Arabela Carreras","F",8964,"http://pbs.twimg.com/profile_images/1356571989515894786/3ePSCo_M_normal.jpg","ar"
"1150985175582609408","AscarateLidia","deputies","Diputada Nacional por Tucumán JxC 🇦🇷.  La familia es lo primero. Profesora universitaria. (CPN) 🎓 Amante de la Educación y la Naturaleza 📚⛰","Lidia Ascárate","F",1825,"http://pbs.twimg.com/profile_images/1152992786586701824/yt8ELwBo_normal.jpg","ar"
"1074441014625124352","AvanzaLibertad_","others","Frente político que defiende la Libertad junto a José Luis Espert, 
 Luis Rosales y Javier Milei","Avanza Libertad","ND",23368,"http://pbs.twimg.com/profile_images/1338113484303847425/OICbKc0P_normal.jpg","ar"
"890392375851438080","AyelenSposito","deputies","Médica -
Diputada nacional por el Frente de Todos -
Movimiento Evita","Ayelen Sposito","F",1855,"http://pbs.twimg.com/profile_images/1208043458990157824/u23z3kmZ_normal.jpg","ar"
"500964169","BAProvincia","province servants","Twitter Oficial del Gobierno de la Provincia de Buenos Aires.","Gobierno PBA","ND",117709,"http://pbs.twimg.com/profile_images/1332665769436602369/QGrmrEEj_normal.jpg","ar"
"2516650610","BancoCentral_AR","national executive","Esta cuenta es de difusión institucional. Para consultas sobre servicios financieros: @BCRAUsuarios y https://t.co/HNsAAOWbYA.","BCRA","ND",131068,"http://pbs.twimg.com/profile_images/1032682025684271104/tMi3n9V5_normal.jpg","ar"
"3005444542","BeatrizMirkinOk","senators","Senadora Nacional por Tucumán junto a @jalperovichok. Peronista. Militante por los derechos de las mujeres./ Instagram: @beatrizmirkinok","Beatriz Mirkin","F",5094,"http://pbs.twimg.com/profile_images/1368958783712620548/AOM4RgP7_normal.jpg","ar"
"201924584","Beatriz_AvilaOK","deputies","Diputada Nacional - Partido por la Justicia Social de Tucumán -   Madre de 4 hijos y orgullosamente tucumana.","Beatriz Avila","F",5747,"http://pbs.twimg.com/profile_images/1332426434133061639/8aWlMN4t_normal.jpg","ar"
"188159659","BlancaOsunaOK","deputies","Militante Peronista. Diputada Nacional por el Frente de Tod☀️s (2019-2023). Intendenta de la ciudad de Paraná (2011-2015).","Blanca Osuna","F",7416,"http://pbs.twimg.com/profile_images/1280652687944626176/fAbYzNT3_normal.jpg","ar"
"38749460","BrunoScrenci","province servants","Ministro de Gobierno de la Ciudad Autónoma de Buenos Aires. 
Egresado del Colegio Nacional Buenos Aires.
Padre de cuatro hijos.","Bruno Screnci Silva","M",1133,"http://pbs.twimg.com/profile_images/721102983354793984/MQKUo1KX_normal.jpg","ar"
"262857572","BuccaBali","deputies","Diputado Nacional y Médico. BOLIVAR ♥️","Eduardo Bali Bucca","M",26343,"http://pbs.twimg.com/profile_images/1329747256073916416/j6wHHCh7_normal.jpg","ar"
"587699611","BuryaileRicardo","deputies","Diputado Nacional por Formosa. Contador Público, productor agropecuario🐄👨‍🌾🚜, hincha de Boca🇸🇪. Ex Ministro de Agroindustria.","Ricardo Buryaile","M",39963,"http://pbs.twimg.com/profile_images/1345122991785586690/LTO82R1t_normal.jpg","ar"
"138814032","CFKArgentina","national executive","Militante peronista. Vicepresidenta de la República Argentina. 2 veces Presidenta mandato cumplido 🇦🇷","Cristina Kirchner","F",5971916,"http://pbs.twimg.com/profile_images/1112014698/foto6-3.jpg_1__normal.jpg","ar"
"293680137","CTAok","others","Central de Trabajadores de la Argentina. Nacida en 1991. Representa desocupados, organizaciones territoriales y sindicatos. @HugoYasky, Secretario General.","CTA","ND",43089,"http://pbs.twimg.com/profile_images/710944923990794240/58rluSJO_normal.jpg","ar"
"171650522","CancilleriaARG","national executive","Bienvenidos al Ministerio de Relaciones Exteriores, Comercio Internacional y Culto de la República Argentina | 🇦🇷 Canciller @felipe_sola","Cancillería Argentina 🇦🇷","ND",260974,"http://pbs.twimg.com/profile_images/1387404561246265345/SyF50doH_normal.jpg","ar"
"1189719848760332288","CaparrosMabel","deputies","Lic. Psicología. Diputada Nacional electa por FORJA . Familiera y orgullosa de la misma👨‍👩‍👧‍👧💜💚","Mabel Caparros","F",236,"http://pbs.twimg.com/profile_images/1189720524764647424/g6UQgK44_normal.jpg","ar"
"1559163650","CarlaCarrizoAR","deputies","Diputada nacional por la Ciudad de Buenos Aires. Vicepresidenta del bloque @diputadosucr #EvolucionRadical 🇵🇱 Politóloga y docente.","Carla Carrizo","F",19703,"http://pbs.twimg.com/profile_images/1296461964122697728/WZC8cAWx_normal.jpg","ar"
"185076776","Carli_Bianco","province servants","Jefe de Gabinete de Ministros de la Provincia de Buenos Aires.","Carlos Bianco","M",23335,"http://pbs.twimg.com/profile_images/1103322960952209409/K-tss5pA_normal.jpg","ar"
"19029918","CarlosHeller","deputies","Presidente del Partido Solidario. Presidente del Banco Credicoop Cooperativo Ltdo.","Carlos Heller","M",141892,"http://pbs.twimg.com/profile_images/2302137097/9ve66ajgsz40gcx8i8o8_normal.jpeg","ar"
"836359132877828096","CarlosMenem_LR","senators","Abogado. Actual Senador Nacional.
Presidente de la República Argentina. (10 años y 6 meses). 
Gobernador de La Rioja. https://t.co/XWZ6OOj0M0","Carlos Saul Menem","M",26564,"http://pbs.twimg.com/profile_images/1029357961112678401/ZuVlDS7A_normal.jpg","ar"
"179960598","CarlosTomada","national executive","Embajador argentino en México 🇦🇷🇲🇽","Carlos Tomada","M",166646,"http://pbs.twimg.com/profile_images/789101799399690240/Xv0XA3XI_normal.jpg","ar"
"466887457","CaroGaillard","deputies","Abogada. Dip. Nac. por la Pcia. de ER en Frente de Todos. Presidenta de la Comisión de Legislacion Penal. HCDN. Mamá de Felipe 💚🌈🌱","Carolina Gaillard","F",14081,"http://pbs.twimg.com/profile_images/1326944416322514945/gTzPExXK_normal.jpg","ar"
"234032767","CaroStanley","others","Mamá de Mateo y Juan. Ministra de Desarrollo Social de la Ciudad (2011 - 2015) y Ministra de Salud y Desarrollo Social de la Nación (2015 - 2019). Abogada.","Carolina Stanley","F",254412,"http://pbs.twimg.com/profile_images/970370553445015555/CXaxMNZd_normal.jpg","ar"
"90401187","CarolinaMoises","deputies","Representante de Jujuy, de nuestra gente. 
Mamá de Victoria. Diputada Nacional.","Carolina Moises","F",13516,"http://pbs.twimg.com/profile_images/1362435317911986178/O_6JOso__normal.jpg","ar"
"4515126989","CasaRosada","national executive","¡Bienvenidos a Casa Rosada!","Casa Rosada","ND",872394,"http://pbs.twimg.com/profile_images/1387241967789150210/8t1yceuX_normal.jpg","ar"
